budget,genres,original_language,popularity,release_date,revenue
14000000,35,en,6.575393,2015,12314651
40000000,35,en,8.248895,2004,95149435
3300000,18,en,64.29999,2014,13092000
1200000,53,hi,3.174936,2012,16000000
22531334.11,28,ko,1.14807,2009,3923970
8000000,16,en,0.743274,1987,3261638
14000000,27,en,7.286477,2012,85446075
22531334.11,99,en,1.949044,2004,2586511
22531334.11,28,en,6.902423,1996,34327391
6000000,35,en,4.672036,2003,18750246
1000000,18,en,14.774066,1976,117235147
22531334.11,35,en,10.54375,1987,22642033
15000000,18,en,20.726578,1999,356296601
53000000,35,en,13.314233,2005,95226116
102000000,28,en,20.666063,2002,358372926
500000,28,sr,1.018477,2010,198
26000000,27,en,6.336927,2005,57891803
22531334.11,18,en,4.183558,2013,1234254
8000000,35,en,6.496259,2011,1749457
32000000,28,en,11.359659,2005,85167639
80000000,12,en,12.000579,1998,136159423
4000000,27,en,7.99229,1982,36690067
22531334.11,53,en,7.820787,2012,100345
22531334.11,53,en,1.323333,2011,17011
22531334.11,27,en,7.434577,2006,4947717
22531334.11,35,en,1.252367,1992,8403433
10000000,80,en,4.305735,1997,13835130
11000000,18,en,10.841891,2013,7847000
6000000,16,en,6.759181,1986,5849647
45000000,28,en,7.81862,2002,94935764
13000000,18,fr,16.086919,2011,426480871
22531334.11,9648,fr,5.69586,2005,36000000
90000000,14,en,13.412445,2015,146936910
22531334.11,27,en,8.254856,2014,7171
140000000,28,en,9.718111,2007,258022233
30000000,28,en,8.234382,2012,40346186
22531334.11,35,en,2.100499,2000,151559
50000000,28,en,13.676444,1995,189859560
22531334.11,53,en,0.32926,2013,92100
3800000,10752,en,3.055936,2065,14873
22531334.11,28,en,2.941626,2006,163000
3000000,80,en,9.718713,2067,16217773
25000000,35,en,2.971999,2000,24362772
6000000,18,en,9.383088,2014,1020921
15000000,35,en,5.615303,2005,47175038
3906840,80,it,2.382068,2009,4300000
80000000,16,en,16.646029,2006,660940780
44000000,80,en,20.328822,2015,155760117
22531334.11,18,en,8.984386,2017,653951
38000000,878,en,8.105708,1994,120000000
560000,10749,nl,1.572904,2008,1500000
12000000,12,en,4.473327,2065,25333333
22531334.11,12,en,1.012665,1980,11000000
22531334.11,18,en,5.410839,1988,17514553
20000000,28,en,8.759801,2016,46069568
22531334.11,35,en,9.122718,1993,36448200
22531334.11,35,fr,2.94798,2009,1056938
125000000,28,en,17.038824,1997,238207122
22531334.11,10402,en,1.882446,2008,119563
14000000,28,en,3.909079,2002,25482931
150000000,12,en,23.065078,2006,599045960
4000000,18,en,1.801071,2056,14400000
22531334.11,53,en,6.381612,1998,25232289
5000000,27,en,7.743144,1989,14000000
12000000,18,en,11.160699,2013,17654912
1500000,28,en,8.822276,1988,11806119
12000000,80,en,5.145185,2010,204940
22531334.11,18,zh,6.303552,2013,154120
2000000,80,en,14.284787,2062,13129846
85000000,28,en,2.238808,2006,158468292
29000000,18,en,12.092096,2005,21126225
22531334.11,18,es,7.667491,2004,16756372
11000000,35,en,8.290384,1990,8266343
22531334.11,80,cs,0.919556,2004,17393
445000,80,en,2.482536,1976,2300000
17000000,27,en,9.665251,2011,24922237
500000,18,ta,0.660663,2000,500000
6000000,35,en,10.451986,1980,39846344
22531334.11,80,en,2.633399,1981,35610100
1500000,27,en,6.636625,2016,779820
15000000,28,en,4.98408,2002,9237470
10284523,35,en,4.349046,2005,11588205
43000000,18,en,10.947957,2005,91974818
28000000,53,en,7.482865,1984,40400657
2000000,27,en,10.239941,2011,13101672
50000000,28,en,7.260574,1995,152022101
8000000,18,en,9.741644,1979,106260000
7500000,80,cn,12.314278,1995,32392047
20000000,18,en,13.655178,2017,13162475
22531334.11,18,en,4.359884,1993,140081992
30000000,28,en,25.261865,2003,180949000
22531334.11,18,it,3.83196,2001,215339
35000000,10752,en,1.690768,1995,15000000
22531334.11,18,en,14.322814,2008,2724474
15000000,53,en,18.184056,2001,20117339
22531334.11,18,ru,0.181963,2012,14353
2500000,28,fr,2.942355,2011,3358
22531334.11,14,ru,1.042112,2011,73000
10500000,16,es,11.003515,2012,23000000
6000000,28,en,5.529808,1988,46616067
7000000,28,en,7.958502,1990,9229401
60000000,18,en,11.93646,2001,313542341
22531334.11,28,ko,1.066558,2007,14961069
22531334.11,18,en,2.401289,2012,5310554
22531334.11,35,tr,1.590383,2014,149521495
10900000,18,en,13.454169,2013,16505460
31000000,18,en,6.523155,2010,15134293
72000000,28,en,20.755149,1995,210000000
14000000,18,en,3.873796,1999,18535191
15000000,18,en,3.210693,2066,34562222
75000000,28,en,13.136791,2001,67631903
35000000,35,en,5.093704,2004,22034832
100000000,53,en,11.696923,2015,93820758
20000000,35,en,4.619593,1988,51684798
93000000,12,en,32.070725,2001,871368364
25000000,28,en,5.00725,2002,41604473
22531334.11,18,zh,1.678013,2012,311
22531334.11,28,en,11.356011,2007,253625427
22531334.11,18,en,4.304224,1993,1796389
12716953,80,cn,6.183021,1997,18814720
90000000,28,en,8.345985,2001,347325802
150000000,12,en,12.453452,1999,448000000
1500000,28,en,1.961208,1990,5585154
25000000,28,en,8.369176,2000,91036760
7500000,35,en,16.376657,2009,60722734
40000000,18,zh,14.622493,2008,7400000
22531334.11,28,en,5.695908,1978,15500000
10000000,27,en,7.886926,2000,12008642
18000000,27,en,9.929809,2005,46201432
2400000,18,en,5.230661,1996,5731103
4000000,35,en,10.130541,2013,9800000
6000000,18,en,8.278079,2011,5206
22531334.11,99,en,1.079975,2000,2452566
65000000,35,en,11.73956,2010,211780824
10000000,35,en,11.840495,2007,33000000
2000000,12,en,1.372493,2006,300000
22531334.11,18,en,2.490032,2012,120680
9000000,35,en,8.888278,1994,4350774
22531334.11,53,en,10.245682,2010,3065860
110000000,12,en,0.913096,2003,407711549
14320000,18,en,0.585397,2068,14000000
22531334.11,18,en,7.008512,2003,31466789
3500000,18,en,5.353826,2016,615816
18000000,18,en,6.675032,2008,382174
4000000,27,en,6.216637,2067,11000000
22531334.11,18,en,3.805811,2016,9188
22531334.11,35,en,10.278957,1988,19510371
39200000,28,ko,14.131906,2013,86758912
22531334.11,35,en,9.322717,1992,147214049
25000000,53,en,5.405958,2012,432274
22531334.11,12,en,1.178642,1980,18
22531334.11,99,en,1.279443,2016,16905
22531334.11,18,en,3.520171,1988,241
4000000,53,en,10.200398,2015,52425855
22531334.11,28,en,2.620456,1983,5091888
20000000,12,en,8.759774,2002,109862682
3500000,28,ru,0.768181,2005,8262833
22531334.11,28,en,0.56257,1994,447784
63600000,28,en,6.047757,2000,19412993
32000000,28,en,7.54701,1995,18552460
